Section,Problem,Solution,Feature,Implementation Note
SEARCH — Ryan needs to find growing Amazon products and the right people behind them,,,,
,Ryan is frustrated because Amazon doesn't expose brand-level data — he can't tell which products are owned by the same brand or which brands are scaling fast enough to need a new manufacturer.,He can search by product and instantly see which brand owns it with key signals (sales rank trend revenue growth review velocity) all in one row.,Product table with brand grouping and growth metrics (Sales Rank Monthly Revenue Revenue Growth %),Search page → Product tab with column-based table showing Sales Rank Monthly Revenue 90-day Revenue Growth Review Velocity Partnership Score
,Ryan is frustrated because typing the right Keepa query is technical and unintuitive — he doesn't know how to translate Find sunscreen brands under $30 with high growth into search filters.,He can describe what he's looking for in plain English and the system translates it into structured filters automatically.,Natural language advanced search — open text input that converts queries into filter combinations,Search page → Advanced search button expands to natural language textarea with example chips (Top growing sunscreens under $25)
,Ryan is frustrated because exact monthly revenue and product-level growth rate are unknowable from public Amazon data — but he still needs a confidence signal to prioritize outreach.,He can see indirect growth signals (Sales Rank Trend Review Velocity Price Stability) plus a Partnership Score that synthesizes them into a single confidence number.,Partnership Score (0-100) combining Sales Rank trend Review Velocity Price Stability Brand Stage,Search page → Partnership Score column in Product table with sweet-spot/early/mature brand stage indicators
,Ryan is frustrated because once he finds a promising product he doesn't know who at the brand to reach out to — name title decision-making power are all hidden,He can switch from a product to the people behind that product's brand with role context (CEO Head of Partnerships VP of Operations).,People tab linked to selected products — Apollo-style contact search filtered by brand,Search page → People tab shows brand cards with contacts; filtered to selected products' brands
,Ryan is frustrated because he sees a contact name but can't tell if it's the right decision-maker without spending time on LinkedIn — and he doesn't want to burn tokens on the wrong person.,He can see free signals first (Email available LinkedIn available recent role change) before committing tokens to reveal the actual contact info.,Free preview of email/LinkedIn availability before reveal — token-gated full reveal,Search page → People tab; email shown as masked (s••••@cerave.com) with Reveal Email button that costs 1 token
,Ryan is frustrated because revealing a name and email costs tokens but he's worried about accidentally clicking and burning credits.,He sees a clear modal before any token is spent — Cancel is at least as visible as Confirm so he never burns credits by mistake.,Token deduction confirmation modal with anti-dark-pattern Cancel button,Search page → Reveal Email click → modal with 1 Token will be deducted with prominent Cancel button
,Ryan is frustrated because finding people one-by-one across 5 product brands is slow — he wants to add multiple promising contacts to a list at once.,He can multi-select people and add them all to a list (or create a new one) with a single action.,Bulk select on People tab with bottom action bar (Add to List Send Email Clear),Search page → People tab → checkbox selection → fixed bottom bar with bulk actions
,Ryan is frustrated because last names and emails are revealed one at a time but he wants a permanent record of every contact he has unlocked across his account lifetime.,He can see every contact he has ever revealed in a dedicated People CRM with token usage history.,Saved People page tracking all revealed contacts with assigned/unassigned filtering,People page → Stats cards (Total Revealed Tokens Used Assigned Unassigned) + CRM table with All/Assigned/Unassigned tabs
,,,,
LISTS — Ryan organizes leads into product-specific lists for outreach,,,,
,Ryan is frustrated because his sunscreen and neck cream prospects are fundamentally different conversations but stored together — there's no way to keep them as separate workstreams.,He can create separate lists for each product category (Sunscreen Neck Cream Vitamin C) and switch between them.,Multi-list system with named lists + Add to List flow from Search,Lists page → sidebar with All Sunscreen Neck Cream Vitamin C Serum filtering + main view showing only that list's contacts
,Ryan is frustrated because when he has 25 contacts across 3 lists he can't quickly isolate the ones who replied vs the ones who haven't — he has to mentally scan every row to figure out who needs a follow-up.,He can filter the list by pipeline stage (New Contacted Replied Negotiating Closed Won) with one click and see only those contacts.,Salesforce-style chevron pipeline bar + sidebar pipeline filter,Lists page → top chevron stage bar (clickable) + left sidebar Sort by Pipeline section both filter the table
,Ryan is frustrated because he can't quickly scan and compare 100+ contacts across different brands — the old card layout forced him to click into each list individually.,He can sort and scan all contacts in one table by Name Company Title Stage Priority — same way Salesforce shows leads.,Sortable CRM table with columns,Lists page → table view with Contact Name Company Title Stage Priority List Date Added columns and sortable headers
,Ryan is frustrated because a flat table tells him the data but doesn't give him a quick sense of how many deals are stuck moving or closing.,He can toggle to a Kanban board grouped by pipeline stage and see bottlenecks visually.,Table/Kanban view toggle,Lists page → toolbar toggle button switches between table view and Kanban (5 columns: New Contacted Replied Negotiating Closed Won)
,Ryan is frustrated because updating contact stages or exporting data one-by-one is painfully slow — he needs to move 20 contacts to Contacted after a batch email or pull a CSV for his manager's weekly report and doing it individually kills his productivity.,He can check multiple contacts and hit Download CSV or Change Stage from a bottom action bar so he can update 20 contacts or export a report in one click.,Checkbox selection with fixed bottom action bar (Download CSV Change Stage Change Priority Move to List),Lists page → bulk actions appear in fixed bottom bar when 1+ rows selected
,Ryan is frustrated because clicking on a contact name should give him full context (notes activity history company info) but right now it just selects the row.,He can click a contact's name or Kanban card and see a full overview drawer with company info last activity notes and quick actions.,Contact detail drawer with profile + company + notes + actions,Lists page → name link click or Kanban card click → right-side drawer with Stage/Priority/List badges Contact info Company info Last Activity Notes + Send Email/Change Stage buttons
,Ryan is frustrated because the same person (Sarah Chen at CeraVe) appears in multiple lists for different conversations but each conversation has a different status — he can't tell which deal she replied to.,He can see a contact's relationship to each list independently with a separate stage per list-contact pair.,Per-list stage tracking,Lists page → contact's stage is scoped to the list/campaign they're in; same person can be Replied in Sunscreen and New in Neck Cream
,,,,
PIPELINE — Ryan tracks where every contact sits in his outreach funnel,,,,
,Ryan is frustrated because he can't visualize where each contact sits in his outreach pipeline — a flat table tells him the data but doesn't give him a quick sense of how many deals are stuck moving or closing.,He can see a Kanban board grouped by pipeline stage (Email Sent Replied In Negotiation Closed) with cards for each contact.,Kanban pipeline board with 4 stages,Pipeline page → 4-column Kanban (Email Sent Replied In Negotiation Closed) with contact cards showing name title company list priority
,Ryan is frustrated because his manager asks How's the sunscreen outreach going? and Ryan has to think back count in his head — he's guessing because info is spread across Gmail mental notes and a spreadsheet.,He can see the overall progress of each campaign at a glance — total contacts replied in negotiation closed — without leaving the page.,Pipeline subtitle metrics + per-campaign filter showing aggregate counts,Pipeline page → header text shows N contacts · N replied · N in negotiation; updates with campaign filter
,Ryan is frustrated because clicking a contact card doesn't show him the full story of that lead — he needs company info notes last activity in one place.,He can click any Kanban card and see a full drawer with profile company industry size location revenue notes and quick actions.,Pipeline contact drawer with company details,Pipeline page → Kanban card click → right drawer with Stage/Priority/List badges Contact Company info (industry employees location revenue) Notes + Send Email/Change Stage actions
,Ryan is frustrated because he's running outreach for 50+ contacts across 3 product lists and there's no notification surface telling him which replies need attention right now.,He can see a notification banner at the top of Pipeline showing new replies with the sender's name and a one-click path to the inbox.,Reply notification banner at top of Pipeline page,Pipeline page → blue banner: 2 new replies from Sarah Chen (CeraVe) and James Miller (Olay) → click opens Inbox; X to dismiss
,,,,
EMAIL — Ryan finished listing up leads for sunscreen and neck cream. Now he wants to start sending cold email and follow up with contacts.,,,,
